,File,Analysis,Decoded State (Start),Decoded State (Stop),Transition Direction,Change Point Time (s),Counts (Mean),Counts (Variance),Counts (Sum),Counts (Min),Counts (Max),Duration (Number of Bins),Duration (us),Coefficient of Dispersion,Sample Size Error (%),Number of Bead States,Input Bead Arrival Rate (/s),Input Probability Stay Background,Input Bead Transit Time (us),Input Probability Stay Bead,Bin Width (s),Input lambda0 (/s),Input lambda1 (/s),h_i,h_d
62,med,HMMViterbi,1,3,1.0,0.074352,1.5833333333333333,0.9924242424242425,19.0,0.0,3.0,12.0,12.0,0.6267942583732058,28.867513459481287,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
63,med,HMMViterbi,0,0,-1.0,0.074364,0.2659380692167577,0.28316248520867404,146.0,0.0,3.0,549.0,549.0,1.0647685231476853,4.267895997763199,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
64,med,HMMViterbi,1,3,1.0,0.074913,1.6153846153846154,1.2861538461538464,42.0,0.0,4.0,26.0,26.0,0.7961904761904763,19.6116135138184,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
65,med,HMMViterbi,0,0,-1.0,0.07493899999999999,0.23845428840716307,0.2572368538047054,253.0,0.0,3.0,1061.0,1060.9999999999998,1.078767991647401,3.0700277992275833,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
66,med,HMMViterbi,1,3,1.0,0.076,2.0,2.75,34.0,0.0,5.0,17.0,17.0,1.375,24.253562503633297,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
67,med,HMMViterbi,0,0,-1.0,0.076017,0.23180592991913745,0.25658485837234596,172.0,0.0,4.0,742.0,741.9999999999999,1.1068951448388413,3.6711154910717614,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
68,med,HMMViterbi,1,3,1.0,0.076759,2.3333333333333335,3.5294117647058827,42.0,0.0,6.0,18.0,18.0,1.5126050420168067,23.57022603955158,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
69,med,HMMViterbi,0,0,-1.0,0.076777,0.2385434346551458,0.24000182870727538,1546.0,0.0,4.0,6481.0,6481.0,1.0061137463466052,1.2421641451985024,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
70,med,HMMViterbi,1,3,1.0,0.083258,1.7,2.0105263157894737,34.0,0.0,5.0,20.0,20.0,1.1826625386996905,22.360679774997898,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
71,med,HMMViterbi,0,0,-1.0,0.08327799999999999,0.23626852659110723,0.2451755927520157,271.0,0.0,3.0,1147.0,1147.0,1.0376989110205241,2.952692976787463,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
